"persid";"estanid";"perfilid";"perfil";"perfilgrupo"
"ca19de67b";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"df8d1a209";"0000PB997";"7189";"E. CONSERJE";"PAS"
"926406b91";"0028PB001";"7189";"E. CONSERJE";"PAS"
"e72492dca";"0019PB032";"A0500";"Catedratico de universidad";"PDI"
"07833558f";"0036PB017";"DIRECCIÓN";"DIRECCION UNIDAD EXTERNA";"OTROS"
"9ba3f1052";"0000PB997";"10015";"TECNICO SUPERIOR";"PAS"
"7a983ef01";"0018PB032";"INVESCOL";"INVESTIGADOR COLABORADOR";"PDI"
"bfd18a5b0";"0028PB093";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"55f5aa9d2";"0033PB031";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"e04f736e4";"0019PB011";"A0500";"Catedratico de universidad";"PDI"
"e8cf2a82f";"0033PB102";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"32494e387";"0000PB997";"CARGO";"CARGO";"OTROS"
"32494e387";"0007PB038";"A0506";"Profesor titular escuela universitaria";"PDI"
"2f10546ff";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"48e45ed32";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"46689de73";"0036PB002";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"975ffc8e8";"0003PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"9868beca3";"0025PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"590a97a31";"0015PB031";"A0505";"Catedratico de escuela universitaria";"PDI"
"a4e751169";"0012PB036";"A0500";"Catedratico de universidad";"PDI"
"35f7aa1f0";"0020PB029";"00061";"PROFESOR AYUDANTE DOCTOR (LOU)";"PDI"
"f71c8b10f";"0004PB014";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"9ac80458b";"0025PB009";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"6ca27331d";"0031PB042";"A7311";"E. ARCHI.,BIBLIOT. Y MUSEOS U. LAGUNA";"PAS"
"d76b4d39c";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"33a809139";"0007PB039";"A0504";"Profesor titular universidad";"PDI"
"865c13271";"0015PB025";"A0506";"Profesor titular escuela universitaria";"PDI"
"f7cd7faec";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f1b8c3580";"0015PB041";"A0504";"Profesor titular universidad";"PDI"
"f1324ffe8";"0028PB094";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"b89cd004f";"0028PB024";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"095f1a139";"0003PB006";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"7e759d48f";"0011PB001";"7189";"E. CONSERJE";"PAS"
"99b4d0bb1";"0012PB055";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"487f266c0";"0027PB011";"DIRECCIÓN";"DIRECCION UNIDAD EXTERNA";"OTROS"
"1147d62e5";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"e9289039f";"0030PB023";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"3935a9138";"0012PB055";"10016A";"TECNICO GRUPO A";"PAS"
"3935a9138";"0012PB055";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"3acfbe772";"0031PB049";"A0504";"Profesor titular universidad";"PDI"
"dc1fd06d8";"0011PB019";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"8cd6b77b8";"0020PB026";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"fe5ce6dd8";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"9a8b2a927";"0016PB015";"7189";"E. CONSERJE";"PAS"
"21478a9e9";"0019PB019";"BECUA1";"BECARIOS UA PRIMER PERIODO (BECA)";"PDI"
"c3de41c72";"0002PB020";"10015";"TECNICO SUPERIOR";"PAS"
"ead675bf5";"0034PB026";"A0506";"Profesor titular escuela universitaria";"PDI"
"453d2eb38";"0030PB025";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"7293bd248";"0024PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"06580d2b1";"0028PB037";"0015";"C. TECNICO DE AUDITORIA Y CONTABILIDAD";"PAS"
"7f0d9eb8a";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"21c932583";"0033PB022";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"4c0583458";"0000PB997";"BECMI2U";"BECARIOS MIN. SEGUNDO PER. FPU(CONTRATO)";"PDI"
"18690fa77";"0000PB997";"BECUA1";"BECARIOS UA PRIMER PERIODO (BECA)";"PDI"
"9439b97ab";"0019PB054";"SP011";"BECARIO";"PDI"
"9439b97ab";"0019PB054";"BECVALI";"INVESTIGADOR EN FORMACION (C-VALI)";"PDI"
"61460f70e";"0019PB008";"BECVALI";"INVESTIGADOR EN FORMACION (C-VALI)";"PDI"
"d124e1932";"0000PB997";"SP011";"BECARIO";"PDI"
"2e3db4162";"0028PB093";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"bcc128215";"0004PB013";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"caa268d04";"0025PB050";"A0504";"Profesor titular universidad";"PDI"
"9f8258b77";"0010PB023";"10015";"TECNICO SUPERIOR";"PAS"
"20bdec8d3";"0033PB112";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d7dc9b49e";"0014PB003";"A0504";"Profesor titular universidad";"PDI"
"f69ac6923";"0031PB033";"A0504";"Profesor titular universidad";"PDI"
"08f4d113e";"0000PB997";"BECUA1";"BECARIOS UA PRIMER PERIODO (BECA)";"PDI"
"eecce320a";"0033PB087";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"1db14c390";"0031PB022";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"153305363";"0028PB008";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"c9807d088";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"42c655566";"0000PB997";"CARGO";"CARGO";"OTROS"
"4e1b26f0d";"0000PB997";"7189";"E. CONSERJE";"PAS"
"1778f389d";"0019PB031";"A0506";"Profesor titular escuela universitaria";"PDI"
"03ce7bfb8";"0020PB004";"CARGO";"CARGO";"OTROS"
"03ce7bfb8";"0020PB016";"A0504";"Profesor titular universidad";"PDI"
"dd5b7ad2e";"0042PB037";"10024";"GESTOR";"PAS"
"33854c92f";"0015PB059";"A0504";"Profesor titular universidad";"PDI"
"93f901b67";"0013PB012";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"0444d5745";"0008PB003";"A0500";"Catedratico de universidad";"PDI"
"79a2bb539";"0021PB029";"6025";"E. ADMINISTRATIVA DE OOAA";"PAS"
"81151206e";"0034PB077";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ff1dc28c1";"0003PB013";"A0504";"Profesor titular universidad";"PDI"
"da5c24c54";"0000PB997";"CARGO";"CARGO";"OTROS"
"30bc6bc3b";"0203PB052";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"09263a216";"0000PB997";"CARGO";"CARGO";"OTROS"
"1f82a91bc";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"8b69d5f42";"0021PB018";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"f5444812c";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b914cbebf";"0025PB042";"7189";"E. CONSERJE";"PAS"
"24a848c0d";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"1dfc20ac2";"0034PB012";"A0500";"Catedratico de universidad";"PDI"
"1dfc20ac2";"0034PB012";"CARGO";"CARGO";"OTROS"
"5cd6c6969";"0000PB997";"CARGO";"CARGO";"OTROS"
"6ecdde33b";"0030PB043";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"5fb0e4fbf";"0037PB002";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"35b8e3f7a";"0028PB048";"6000";"E. TECNICA DE GESTION DE OOAA";"PAS"
"2b9a7d361";"0000PB997";"A0500";"Catedratico de universidad";"PDI"
"a4ab195cf";"0030PB044";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"a912e60f7";"0000PB997";"CARGO";"CARGO";"OTROS"
"644aea3a7";"0028PB047";"6025";"E. ADMINISTRATIVA DE OOAA";"PAS"
"9d5bdf9ec";"0015PB029";"A0505";"Catedratico de escuela universitaria";"PDI"
"791bbd32d";"0022PB002";"5431";"E. AUXILIAR DE ARCH.,BIBL. Y MUS. OOAA M";"PAS"
"05e42d85c";"0034PB049";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"75a5228c4";"0028PB037";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"99695e41c";"0034PB021";"A0504";"Profesor titular universidad";"PDI"
"02df5fd9b";"0007PB164";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6693435ad";"0015PB075";"A0500";"Catedratico de universidad";"PDI"
"66761b328";"0034PB036";"A0505";"Catedratico de escuela universitaria";"PDI"
"66761b328";"0034PB036";"CARGO";"CARGO";"OTROS"
"ba33032bb";"0011PB009";"A0500";"Catedratico de universidad";"PDI"
"112f8522d";"0033PB075";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1577bad6d";"0028PB040";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"d756b5309";"0000PB997";"CARGO";"CARGO";"OTROS"
"b99dbb1c7";"0014PB019";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"b99dbb1c7";"0014PB019";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"579c0115f";"0031PB025";"A0500";"Catedratico de universidad";"PDI"
"579c0115f";"0031PB025";"CARGO";"CARGO";"OTROS"
"dce87b6e4";"0202PB003";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"12f041ee0";"0000PB997";"CARGO";"CARGO";"OTROS"
"81efa9861";"0000PB997";"CARGO";"CARGO";"OTROS"
"f143d4444";"0024PB026";"A0500";"Catedratico de universidad";"PDI"
"a92dbac67";"0033PB112";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"1589610e5";"0007PB029";"A0504";"Profesor titular universidad";"PDI"
"bf83006e7";"0002PB040";"30015";"OFICIAL OFICIOS/MANTENIMIENTO";"PAS"
"085f0c1e3";"0009PB012";"30005";"ESPECIALISTA TECNICO LABORATORIO";"PAS"
"0ad1320d0";"0007PB005";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"ba2f89cf6";"0002PB046";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"77b92e4c6";"0019PB033";"A0504";"Profesor titular universidad";"PDI"
"0957bf201";"0034PB040";"A0506";"Profesor titular escuela universitaria";"PDI"
"63ef352d5";"0007PB030";"A0504";"Profesor titular universidad";"PDI"
"63ef352d5";"0007PB030";"CARGO";"CARGO";"OTROS"
"5821780fb";"0001PB087";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"eeed5bc3f";"0028PB014";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"c192846f6";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"b96055b68";"0015PB035";"A0506";"Profesor titular escuela universitaria";"PDI"
"9ecb7cc29";"0036PB028";"7189";"E. CONSERJE";"PAS"
"a8c6fb454";"0011PB011";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"cf9322543";"0028PB026";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"d6b81caf4";"0020PB022";"CARGO";"CARGO";"OTROS"
"d6b81caf4";"0020PB022";"A0504";"Profesor titular universidad";"PDI"
"24944e7ff";"0026PB012";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9763d94fc";"0031PB045";"A0504";"Profesor titular universidad";"PDI"
"20f1fd424";"0006PB054";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"93de8cbf7";"0038PB071";"1135";"C. GENERAL ADMINISTRAT. ADMIN. ESTADO";"PAS"
"a8e95484c";"0024PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"aa5dd4e28";"0014PB053";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"68f1558b5";"0014PB018";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b8ee56430";"0024PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"5c5167f3b";"0019PB007";"A0500";"Catedratico de universidad";"PDI"
"dd0be9bff";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"b0c717fb6";"0015PB038";"A0500";"Catedratico de universidad";"PDI"
"1a7861600";"0038PB031";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"74474c318";"0007PB006";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"fb6559069";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"14bb47cb7";"0016PB016";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"159bb5e65";"0015PB036";"A0504";"Profesor titular universidad";"PDI"
"e798fdddf";"0024PB027";"CARGO";"CARGO";"OTROS"
"878000b71";"0028PB092";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"4652dfc4a";"0014PB065";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"bdf59d8f2";"0000PB997";"CARGO";"CARGO";"OTROS"
"0c222cc64";"0028PB096";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"ad07ac1f3";"0003PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"5d95f9b91";"0031PB057";"7189";"E. CONSERJE";"PAS"
"58183870c";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"c051eed17";"0000PB997";"CARGO";"CARGO";"OTROS"
"38251c1d1";"0007PB035";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"eef843087";"0034PB032";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2d9c8a8d0";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"79bad53bf";"0031PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a62c5e7ce";"0035PB006";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"93f8aeac0";"0036PB019";"CARGO";"CARGO";"OTROS"
"3e3df22e7";"0028PB029";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"1085fa9fd";"0034PB039";"A0506";"Profesor titular escuela universitaria";"PDI"
"109a1fa6a";"0015PB043";"A0504";"Profesor titular universidad";"PDI"
"c024218b0";"0007PB032";"A0504";"Profesor titular universidad";"PDI"
"449c46b0b";"0033PB081";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"760fc825a";"0016PB015";"7189";"E. CONSERJE";"PAS"
"155ac4219";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2ff5dac34";"0034PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ddd5f4f9d";"0018PB019";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"4fbf2de94";"0012PB040";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"48f0119c4";"0006PB055";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"db7c0248b";"0028PB001";"50004";"BEDEL";"PAS"
"58cd6c09c";"0022PB002";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"6c295ca10";"0015PB027";"A0505";"Catedratico de escuela universitaria";"PDI"
"14a2c8277";"0038PB033";"A0505";"Catedratico de escuela universitaria";"PDI"
"bbc46370e";"0022PB002";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"195e3d757";"0006PB057";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"a873ec469";"0020PB006";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"b5fcac830";"0015PB050";"A0504";"Profesor titular universidad";"PDI"
"b5fcac830";"0015PB050";"CARGO";"CARGO";"OTROS"
"82bc6018e";"0015PB005";"A0504";"Profesor titular universidad";"PDI"
"28cdb3e75";"0000PB997";"6000";"E. TECNICA DE GESTION DE OOAA";"PAS"
"90e80aaf7";"0031PB046";"A0506";"Profesor titular escuela universitaria";"PDI"
"2ccdaf9b3";"0000PB997";"CARGO";"CARGO";"OTROS"
"3674853e7";"0038PB023";"10015";"TECNICO SUPERIOR";"PAS"
"0fa33dbb6";"0031PB042";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"b1c8d632e";"0007PB030";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b02158e35";"0008PB006";"A0500";"Catedratico de universidad";"PDI"
"0e5ec0caa";"0015PB056";"A0504";"Profesor titular universidad";"PDI"
"9190d50e9";"0034PB073";"40012";"AUXILIAR DE SERVICIOS";"PAS"
"d8f9a4dde";"0014PB028";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"4b092097e";"0000PB997";"CARGO";"CARGO";"OTROS"
"973caeedd";"0008PB024";"A0500";"Catedratico de universidad";"PDI"
"ebed1a264";"0037PB005";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"9764dbe46";"0016PB024";"CARGO";"CARGO";"OTROS"
"9764dbe46";"0015PB028";"A0504";"Profesor titular universidad";"PDI"
"c47a23f7e";"0028PB008";"O0";"GRUPO A DE LA GENERALITAT VALENCIANA";"PAS"
"bb04cd569";"0030PB020";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"5d44c0538";"0028PB060";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d93da8be1";"0036PB023";"0597";"MAESTRO DE E.G.B.";"PDI"
"873e029af";"0005PB002";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f4a6f8dbc";"0028PB047";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"e7b60af09";"0039PB050";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"c21bb3495";"0016PB015";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"af571684d";"0026PB014";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2454b3501";"0002PB051";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"59a177985";"0007PB003";"1135";"C. GENERAL ADMINISTRAT. ADMIN. ESTADO";"PAS"
"13f4528e4";"0000PB997";"CARGO";"CARGO";"OTROS"
"13f4528e4";"0000PB997";"CARGO";"CARGO";"OTROS"
"5f36fe2b5";"0008PB051";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"a4dc6c4db";"0009PB013";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"e9b605a19";"0034PB051";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"25dd11cdf";"0000PB997";"CARGO";"CARGO";"OTROS"
"1003658c7";"0000PB997";"CARGO";"CARGO";"OTROS"
"43cdf87f4";"0034PB038";"A0506";"Profesor titular escuela universitaria";"PDI"
"9b8f852a7";"0005PB036";"30008";"OPERADOR";"PAS"
"737ca4043";"0000PB997";"CARGO";"CARGO";"OTROS"
"51c77ae6a";"0000PB997";"CARGO";"CARGO";"OTROS"
"27cd88d63";"0033PB033";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"d5de6e7f8";"0021PB008";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"8ea37eda2";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"dbf097501";"0015PB020";"A0504";"Profesor titular universidad";"PDI"
"01aa30ede";"0042PB032";"CARGO";"CARGO";"OTROS"
"448aa92b8";"0038PB031";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"2ccb05477";"0007PB066";"A0500";"Catedratico de universidad";"PDI"
"43685b1a1";"0034PB015";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"1f23ba018";"0000PB997";"CARGO";"CARGO";"OTROS"
"68d6f5fe6";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"0da6ca75b";"0018PB023";"A0500";"Catedratico de universidad";"PDI"
"0da6ca75b";"0000PB997";"CARGO";"CARGO";"OTROS"
"b856778b0";"0000PB997";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"9e01343ed";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"db793e399";"0015PB030";"A0504";"Profesor titular universidad";"PDI"
"5317a4527";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"7a4ddfc5e";"0000PB997";"CARGO";"CARGO";"OTROS"
"942973688";"0036PB032";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"df60c5239";"0036PB017";"TÉCNICO";"TÉCNICOS EXTERNOS";"OTROS"
"30b1840e1";"0000PB997";"CARGO";"CARGO";"OTROS"
"ea2865a9e";"0001PB087";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"dc9f27175";"0028PB047";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"e0697390c";"0020PB004";"CARGO";"CARGO";"OTROS"
"957602fbb";"0012PB054";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"72f17af4a";"0011PB027";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"0cbe411c0";"0005PB008";"7019";"E. ANALISTA-PROGRA. DE LA UNIV. DE ALIC.";"PAS"
"be36e7e82";"0008PB009";"CARGO";"CARGO";"OTROS"
"be36e7e82";"0008PB009";"A0500";"Catedratico de universidad";"PDI"
"3531d491b";"0003PB037";"40012";"AUXILIAR DE SERVICIOS";"PAS"
"d751beb4b";"0030PB045";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"cbc633518";"0007PB085";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"bbc5b18bd";"0031PB021";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b8177225f";"0000PB997";"CARGO";"CARGO";"OTROS"
"7f21e012e";"0020PB017";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d368f581f";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
